iter	Logloss
0	0.6499171068
1	0.5928115415
2	0.5591740713
3	0.5337812808
4	0.5137794931
5	0.4926184266
6	0.4800586428
7	0.4687653519
8	0.4570359139
9	0.4494198182
10	0.4356184702
11	0.4201240674
12	0.4109009728
13	0.4055781848
14	0.3990596733
15	0.386286201
16	0.3826532139
17	0.3748715122
18	0.359395488
19	0.3512744944
20	0.3451035127
21	0.336299561
22	0.3293448421
23	0.3260803405
24	0.325014733
25	0.3236886939
26	0.3236864239
27	0.3222605058
28	0.3182757347
29	0.312577222
30	0.3076624247
31	0.3004045491
32	0.2988757773
33	0.2888145372
34	0.2816185704
35	0.2767693527
36	0.2712722682
37	0.2702999348
38	0.2654971484
39	0.2597071239
40	0.2545418236
41	0.2469959688
